ORI,year,department_id,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,latitude,longitude
TX22012,1976,20,364302.0,70.0,174.0,985.0,503.0,1732.0,12.0,475.429725886764,19.214827258702897,47.7625706144902,270.380069283177,138.072258730394,32.768799,-97.309341
CA01005,1976,21,177900.0,28.0,55.0,723.0,461.0,1267.0,12.0,712.197863968522,15.739179314221499,30.9162450815065,406.408094435076,259.134345137718,36.746841,-119.772591
HI00200,1976,22,718424.0,40.0,164.0,1112.0,380.0,1696.0,12.0,236.072291571551,5.56774272574413,22.8277451755509,154.78324777568702,52.893555894569204,21.315603,-157.858093
TXHPD00,1976,23,1477000.0,321.0,690.0,5531.0,1503.0,8045.0,12.0,544.685172647258,21.7332430602573,46.716316858497,374.47528774542997,101.760324983074,29.749907,-95.358421
INIPD00,1976,24,494730.0,68.0,347.0,2366.0,1363.0,4144.0,12.0,837.6286055019909,13.7448709397045,70.139267883492,478.240656519718,275.503810159077,39.768403,-86.158068
FL01602,1976,25,543839.0,90.0,279.0,1558.0,2516.0,4443.0,12.0,816.969728173228,16.5490154255212,51.301947819115604,286.481844810688,462.636920117903,30.332184,-81.655647
MOKPD00,1976,26,488012.0,95.0,350.0,2410.0,2723.0,5578.0,12.0,1143.0046802127802,19.4667344245633,71.71954787997021,493.84031540208,557.978082506168,39.099724,-94.578331
NV00201,1976,27,265347.0,35.0,151.0,1276.0,1011.0,2473.0,12.0,931.9871715150349,13.1902753752633,56.906616618993205,480.879753681029,381.010525839749,36.114647,-115.172813
CA01941,1976,28,340900.0,69.0,200.0,1703.0,978.0,2950.0,12.0,865.356409504253,20.240539747726604,58.66823115283071,499.55998826635397,286.887650337342,33.77005,-118.193741
CA01942,1976,29,2739100.0,501.0,2047.0,14225.0,15187.0,31960.0,12.0,1166.8066153116001,18.2906794202475,74.732576393706,519.331167171699,554.4521923259459,34.052235,-118.243683
CA01900,1976,30,1027865.0,155.0,564.0,2723.0,6662.0,10104.0,12.0,983.008469011008,15.079801335778502,54.871019054058706,264.918058305322,648.139590315849,34.052235,-118.243683
KY05680,1976,31,,,,,,,,,,,,,38.328732,-85.764771
TNMPD00,1976,32,649819.0,113.0,472.0,2429.0,1766.0,4780.0,12.0,735.5894487541921,17.3894576797539,72.635610839326,373.796395611701,271.76798462341,35.1175,-89.971107
AZ00717,1976,33,100763.0,5.0,15.0,89.0,202.0,311.0,12.0,308.645038357334,4.96213888034298,14.8864166410289,88.3260720701051,200.470410765857,33.424564,-111.833267
FL01306,1976,34,338721.0,84.0,145.0,2313.0,2630.0,5172.0,12.0,1526.92038580425,24.799170999140898,42.8080927961361,682.862887154915,776.450234854054,25.761681,-80.191788
